,Name,Gender,Parliament,YOB,Parliament_Year,Age@Parliament,Age_buckets
0,"Sangha, Ramesh",M,43,1945,2019,74,71+
1,"Lefebvre, Paul",M,43,1968,2019,51,51-60
2,"Kmiec, Tom",M,43,1981,2019,38,31-40
3,"Leslie, Andrew",M,42,1957,2015,58,51-60
4,"Robillard, Yves",M,43,1936,2019,83,71+
5,"Easter, Wayne",M,42,1949,2015,66,61-70
6,"McKinnon, Ron",M,43,1951,2019,68,61-70
7,"Sopuck, Robert",M,42,1951,2015,64,61-70
8,"Vandal, Daniel",M,42,1960,2015,55,51-60
9,"Chiu, Kenny",M,43,1965,2019,54,51-60
10,"Duncan, Kirsty",F,43,1966,2019,53,51-60
11,"Rodriguez, Pablo",M,42,1967,2015,48,41-50
12,"Choquette, François",M,42,1974,2015,41,41-50
13,"Stubbs, Shannon",F,43,1979,2019,40,31-40
14,"Fraser, Sean",M,43,1984,2019,35,31-40
15,"Garrison, Randall",M,42,1951,2015,64,61-70
16,"Young, Terence H.",M,41,1952,2011,59,51-60
17,"Van Popta, Tako",M,43,1953,2019,66,61-70
18,"Williamson, John",M,41,1970,2011,41,41-50
19,"Wilson-Raybould, Jody",F,42,1971,2015,44,41-50
20,"Weir, Erin",M,42,1979,2015,36,31-40
21,"Atwin, Jenica",F,43,1984,2019,35,31-40
22,"Lightbound, Joël",M,42,1988,2015,27,18-30
23,"Badanai, Hubert",M,28,1895,1968,73,71+
24,"Diefenbaker, John George",M,28,1895,1968,73,71+
25,"MacDonald, Flora Isabel",F,33,1904,1984,80,71+
26,"Rynard, Philip Bernard",M,28,1897,1968,71,71+
27,"Flemming, Hugh John",M,28,1899,1968,69,61-70
28,"Michener, Daniel Roland",M,28,1900,1968,68,61-70
29,"Robillard, Yves",M,42,1936,2015,79,71+
30,"Charbonneau, Louise",F,43,1940,2019,79,71+
31,"Harris, Richard M.",M,40,1930,2008,78,71+
32,"Fry, Hedy",F,43,1941,2019,78,71+
33,"Hardie, Ken",M,43,1941,2019,78,71+
34,"Noble, Percy Verner",M,28,1902,1968,66,61-70
35,"Rochon, Jean-Léo",M,28,1902,1968,66,61-70
36,"Darling, Stan",M,34,1911,1988,77,71+
37,"Bratina, Bob",M,42,1938,2015,77,71+
38,"MacDonald, Flora Isabel",F,32,1904,1980,76,71+
39,"Harris, Richard M.",M,39,1930,2006,76,71+
40,"Williams, John G.",M,39,1932,2006,74,71+
41,"Kent, Peter",M,43,1943,2019,76,71+
42,"Plamondon, Louis",M,43,1943,2019,76,71+
43,"Cadieu, Albert C. (Bert)",M,28,1903,1968,65,61-70
44,"Harkness, Douglas Scott",M,28,1903,1968,65,61-70
45,"Casey, William D. (Bill)",M,34,1913,1988,75,71+
46,"Bratina, Bob",M,43,1944,2019,75,71+
47,"Sgro, Judy",F,43,1944,2019,75,71+
48,"Monteith, Jay Waldo",M,28,1903,1968,65,61-70
49,"Muir, George Robson",M,28,1903,1968,65,61-70
50,"Douglas, Thomas Clement (Tommy)",M,28,1904,1968,64,61-70
51,"Hees, George Harris",M,33,1910,1984,74,71+
52,"Taylor, Gordon Edward",M,33,1910,1984,74,71+
53,"Harris, Richard M.",M,38,1930,2004,74,71+
54,"Williams, John G.",M,38,1932,2004,72,71+
55,"Ouellet, Christian",M,40,1934,2008,74,71+
56,"Boughen, Ray",M,41,1937,2011,74,71+
57,"Fry, Hedy",F,42,1941,2015,74,71+
58,"Hardie, Ken",M,42,1941,2015,74,71+
59,"Tilson, David",M,42,1941,2015,74,71+
60,"Grills, Lee Elgy",M,28,1904,1968,64,61-70
61,"Noël, Aurélien",M,28,1904,1968,64,61-70
62,"MacInnis, Winona Grace",F,28,1905,1968,63,61-70
63,"Darling, Stan",M,33,1911,1984,73,71+
64,"McWhinney, Edward Watson (Ted)",M,36,1924,1997,73,71+
65,"Mercier, Paul",M,36,1924,1997,73,71+
66,"White, Ted",M,37,1931,2000,69,61-70
67,"Comuzzi, Joseph R. (Joe)",M,39,1933,2006,73,71+
68,"Bergen, Candice",F,43,1946,2019,73,71+
69,"MacAulay, Lawrence",M,43,1946,2019,73,71+
70,"MacKenzie, Dave",M,43,1946,2019,73,71+
71,"Howe, William Marvin",M,28,1906,1968,62,61-70
72,"Baldwin, Gerald William",M,28,1907,1968,61,61-70
73,"Knowles, Stanley Howard",M,32,1908,1980,72,71+
74,"Hamilton, Francis Alvin George",M,33,1912,1984,72,71+
75,"Bailey, Roy H.",M,37,1928,2000,72,71+
76,"Grose, Ivan",M,37,1928,2000,72,71+
77,"Lincoln, Clifford",M,37,1928,2000,72,71+
78,"Schmidt, Werner",M,38,1932,2004,72,71+
79,"Wayne, Elsie Eleanore",F,37,1932,2000,68,61-70
80,"Williams, John G.",M,37,1932,2000,68,61-70
81,"Ouellet, Christian",M,39,1934,2006,72,71+
82,"O'Connor, Gordon",M,41,1939,2011,72,71+
83,"Kent, Peter",M,42,1943,2015,72,71+
84,"Plamondon, Louis",M,42,1943,2015,72,71+
