,Parliament_year,Age_buckets,Avg_MP_age,MP_count,Voters_count,Total_Voters_count,Total_MP_count,Voters_count_%,MP_count_%
0,1972,18-30,27,12,4908712,14506057,241,33.8,5.0
1,1972,31-40,36,56,2650298,14506057,241,18.3,23.2
2,1972,41-50,45,89,2505296,14506057,241,17.3,36.9
3,1972,51-60,55,60,2024471,14506057,241,14.0,24.9
4,1972,61-70,64,21,1390343,14506057,241,9.6,8.7
5,1972,71+,75,3,1026937,14506057,241,7.1,1.2
6,1974,18-30,27,6,5254812,15230222,241,34.5,2.5
7,1974,31-40,36,47,2781452,15230222,241,18.3,19.5
8,1974,41-50,45,86,2532163,15230222,241,16.6,35.7
9,1974,51-60,55,67,2106522,15230222,241,13.8,27.8
10,1974,61-70,64,32,1479347,15230222,241,9.7,13.3
11,1974,71+,77,3,1075926,15230222,241,7.1,1.2
12,1979,18-30,27,1,5883016,17037910,241,34.5,0.4
13,1979,31-40,38,25,3353254,17037910,241,19.7,10.4
14,1979,41-50,46,73,2560737,17037910,241,15.0,30.3
15,1979,51-60,55,82,2327915,17037910,241,13.7,34.0
16,1979,61-70,65,47,1667171,17037910,241,9.8,19.5
17,1979,71+,75,13,1245817,17037910,241,7.3,5.4
18,1980,18-30,28,15,6001864,17428431,273,34.4,5.5
19,1980,31-40,37,61,3483818,17428431,273,20.0,22.3
20,1980,41-50,45,96,2578011,17428431,273,14.8,35.2
21,1980,51-60,54,76,2359193,17428431,273,13.5,27.8
22,1980,61-70,64,22,1716700,17428431,273,9.8,8.1
23,1980,71+,73,3,1288845,17428431,273,7.4,1.1
24,1984,18-30,28,12,6198414,18762187,274,33.0,4.4
25,1984,31-40,36,54,3983038,18762187,274,21.2,19.7
26,1984,41-50,46,112,2761962,18762187,274,14.7,40.9
27,1984,51-60,55,72,2436684,18762187,274,13.0,26.3
28,1984,61-70,63,19,1897714,18762187,274,10.1,6.9
29,1984,71+,75,5,1484375,18762187,274,7.9,1.8
30,1988,18-30,29,4,6065867,19967732,288,30.4,1.4
31,1988,31-40,36,59,4446702,19967732,288,22.3,20.5
32,1988,41-50,46,113,3206779,19967732,288,16.1,39.2
33,1988,51-60,55,89,2471324,19967732,288,12.4,30.9
34,1988,61-70,64,21,2093873,19967732,288,10.5,7.3
35,1988,71+,76,2,1683187,19967732,288,8.4,0.7
36,1993,18-30,26,8,5680541,19513429,296,29.1,2.7
37,1993,31-40,37,49,5015513,19513429,296,25.7,16.6
38,1993,41-50,45,119,3922656,19513429,296,20.1,40.2
39,1993,51-60,54,90,2647526,19513429,296,13.6,30.4
40,1993,61-70,63,30,2247193,19513429,296,11.5,10.1
41,1997,18-30,27,10,5448581,22596281,307,24.1,3.3
42,1997,31-40,37,37,5142856,22596281,307,22.8,12.1
